"GEOID","COUNTY","POWERCO","POP07","POP08","POP09","POP10","POP11","MEDIANAGE","AGEDUMMY","PCTWHITE","HHTOT","HHSIZE","HHBYPOP07","HHBYPOP08","HHBYPOP09","HHBYPOP10","HHBYPOP11","HHNONRENT","HHPCTRENTEROCCUPIED","CITYSOLARPOT","PCTWEALTHY","MEDIANINCOME","PWRPRICE2007","PWRPRICE2008","PWRPRICE2009","PWRPRICE2010","PWRPRICE2011","HHS_OO07","HHS_OO08","HHS_OO09","HHS_OO10","PCTWEALTHOOH07","PCTWEALTHOOH08","PCTWEALTHOOH09","PCTWEALTHOOH10","TOTALOOH07","TOTALOOH08","TOTALOOH09","TOTALOOH10","TOTALHH07","TOTALHH08","TOTALHH09","TOTALHH10","PCTVET07","PCTVET08","PCTVET09","PCTVET10","PCTBS07","PCTBS08","PCTBS09","PCTBS10","PCTBS_FULL","PCTGRAD_FULL","PCTVETERANS","REP","city"
646828,"Fresno","PG&E",10037,10548,10761,10983,11081,26.2000007629395,0,52.9000015258789,2424,4.53999996185303,2210.7900390625,2323.35009765625,2370.26000976562,2419.15991210938,2440.75,1188,56.4000015258789,5.89,0.88,23705,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600000023841858,0,0.850000023841858,0,"Mendota"
646870,"San Mateo","PG&E",30732,31207,31688,31986,32319,38.7000007629395,1,70.1999969482422,12347,2.52999997138977,12147.0400390625,12334.7802734375,12524.900390625,12642.6904296875,12774.3095703125,7665,43.9000015258789,5.39,43.186,84609,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.597,2.587,2.567,2.557,0.612389846,0.673136866,0.666274279,0.652672865,7603,7058,6796,6884,11908,11918,11735,12630,0.07859193,0.08414412,0.09653422,0.085969148,0.673,0.711,0.694,0.681,32.2999992370605,37.2000007629395,8.44999980926514,0,"Menlo Park"
646898,"Merced","PG&E",77687,78107,78430,78860,79259,28.1000003814697,0,52.2000007629395,24899,3.13000011444092,24820.130859375,24954.310546875,25057.509765625,25194.890625,25322.359375,13184,57.2999992370605,5.62,5.302,30429,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.933,2.891,2.873,3.015,0.222288617,0.253012048,0.255199262,0.251170841,10041,9545,9761,9822,22993,23600,24501,23778,0.080453842,0.0771872,0.069212272,0.074987805,0.16,0.162,0.169,0.157,10.3999996185303,5,7.53000020980835,0,"Merced"
647710,"Marin","PG&E",13496,13624,13742,13870,14064,46.5999984741211,1,88.8000030517578,6084,2.26999998092651,5945.3701171875,6001.759765625,6053.740234375,6110.1298828125,6195.58984375,4424,34.7000007629395,5.55,46.655,90794,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7999992370605,37.7000007629395,8.89999961853027,0,"Mill Valley"
647486,"San Mateo","PG&E",20468,20947,21136,21521,21714,44.7999992370605,1,47.2999992370605,7994,2.65000009536743,7723.77001953125,7904.52978515625,7975.85009765625,8121.1298828125,8193.9599609375,5454,36.5,5.26,29.031,68404,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.786,2.533,2.619,2.677,0.450980392,0.482103134,0.50686294,0.527553131,5100,4945,5027,5317,7941,7711,8095,8139,0.084411004,0.097604372,0.088873854,0.089851134,0.399,0.396,0.407,0.405,26.8999996185303,13.6000003814697,9.57999992370605,0,"Millbrae"
647766,"Santa Clara","PG&E",62684,65162,66392,66672,67476,36.0999984741211,1,20.5,19184,3.33999991416931,18767.66015625,19509.580078125,19877.83984375,19961.6796875,20202.400390625,13447,33.0999984741211,5.39,38.81,84429,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,3.126,3.084,3.145,3.152,0.49687994,0.537492653,0.567259786,0.575167038,12019,11909,12645,12572,18147,18251,18330,18564,0.043207304,0.04271058,0.042092334,0.040726988,0.369,0.389,0.394,0.396,25.7999992370605,13.6000003814697,4.05000019073486,0,"Milpitas"
648256,"Orange","SCE",93958,93709,93458,93394,93483,42.2000007629395,1,79.8000030517578,33208,2.77999997138977,33797.83984375,33708.26953125,33617.98828125,33594.9609375,33626.98046875,26879,22.1000003814697,5.64,34.856,78248,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.823,2.78,2.757,2.692,0.503042672,0.532252037,0.532943514,0.533077219,26950,26758,26166,26030,33726,33693,32989,33435,0.093328341,0.093338713,0.082680284,0.081909675,0.411,0.426,0.439,0.44,28.6000003814697,15.1999998092651,8.57999992370605,1,"Mission Viejo"
648354,"Stanislaus","PG&E",200866,200941,201331,201911,202290,34.2000007629395,0,65,69107,2.86999988555908,69988.1484375,70014.2890625,70150.171875,70352.2578125,70484.3203125,45359,43,5.76,9.589,40394,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.816,2.826,2.813,2.791,0.266052191,0.28331044,0.260986775,0.266372027,41770,40768,39320,38465,68441,67296,66583,68026,0.092975064,0.089347931,0.090571558,0.085214964,0.185,0.185,0.187,0.179,12,6.30000019073486,8.84000015258789,1,"Modesto"
648648,"Los Angeles","SCE",36548,36369,36407,36659,36686,37.9000015258789,1,59.9000015258789,13762,2.65000009536743,13791.7001953125,13724.150390625,13738.490234375,13833.580078125,13843.76953125,7520,50.5,5.66,14.742,45375,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.572,2.538,2.579,2.605,0.45024042,0.476190476,0.441499487,0.445619335,6863,6972,6829,6620,13613,13646,13808,13630,0.076546276,0.069704624,0.060324826,0.056339534,0.365,0.356,0.33,0.313,20.1000003814697,13.3999996185303,6.3600001335144,1,"Monrovia"
648690,"Siskiyou","PG&E",1472,1455,1453,1444,1446,37.9000015258789,1,86.6999969482422,576,2.47000002861023,595.950012207031,589.070007324219,588.260009765625,584.619995117188,585.429992675781,428,35.5999984741211,5.15,1.406,22991,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3000001907349,1.70000004768372,20.5900001525879,1,"Montague"
